transcript_id	molarity
SIRV101	1
SIRV102	0.25
SIRV103	1
SIRV105	4
SIRV106	1
SIRV107	4
SIRV108	0.25
SIRV109	0.03125
SIRV201	0.25
SIRV202	4
SIRV203	0.25
SIRV204	1
SIRV205	0.03125
SIRV206	0.25
SIRV301	4
SIRV302	0.03125
SIRV303	1
SIRV304	0.03125
SIRV305	0.25
SIRV306	0.25
SIRV307	1
SIRV308	4
SIRV309	0.25
SIRV310	0.03125
SIRV311	4
SIRV403	0.03125
SIRV404	1
SIRV405	0.03125
SIRV406	4
SIRV408	0.03125
SIRV409	0.25
SIRV410	4
SIRV501	0.25
SIRV502	0.03125
SIRV503	0.25
SIRV504	0.25
SIRV505	1
SIRV506	1
SIRV507	0.03125
SIRV508	4
SIRV509	0.25
SIRV510	0.03125
SIRV511	0.03125
SIRV512	0.25
SIRV601	0.03125
SIRV602	4
SIRV603	0.03125
SIRV604	1
SIRV605	0.25
SIRV606	0.25
SIRV607	1
SIRV608	0.25
SIRV609	1
SIRV610	0.25
SIRV611	0.03125
SIRV612	4
SIRV613	1
SIRV614	0.25
SIRV615	0.25
SIRV616	4
SIRV617	1
SIRV618	0.03125
SIRV701	0.25
SIRV702	0.03125
SIRV703	0.03125
SIRV704	0.03125
SIRV705	1
SIRV706	1
SIRV708	1